,user_id,join_date,last_payment_date,country,age,gender,device,subscription_type,subscription_price,PPP,relative_PPP_price,population
0,1,2022-01-15,2023-10-06,United States,28,Male,Smartphone,Basic,"9,99","1,0","9,99",339996563
1,2,2021-05-09,2023-06-22,Canada,35,Female,Tablet,Premium,"16,5","1,25","20,62",38781291
2,3,2023-02-28,2023-06-27,United Kingdom,42,Male,Smart TV,Standard,"15,08","0,69","10,41",67736802
3,4,2022-10-07,2023-06-26,Australia,51,Female,Laptop,Standard,"12,42","1,44","17,88",26439111
4,5,2023-01-05,2023-06-28,Germany,33,Male,Smartphone,Basic,"8,78","0,74","6,5",83294633
5,6,2022-03-18,2023-06-27,France,29,Female,Smart TV,Premium,"19,77","0,73","14,43",64756584
6,7,2021-09-12,2023-06-25,Brazil,46,Male,Tablet,Standard,"7,54","2,53","19,08",216422446
7,8,2023-02-04,2023-06-24,Mexico,39,Female,Laptop,Basic,"6,89","10,04","69,18",128455567
8,9,2022-10-20,2023-06-23,Spain,37,Male,Smartphone,Standard,"14,28","0,62","8,85",47519628
9,10,2023-07-01,2023-06-22,Italy,44,Female,Smart TV,Premium,"19,77","0,65","12,85",58870762
10,11,2022-05-16,2023-06-22,United States,31,Female,Smartphone,Basic,"9,99","1,0","9,99",339996563
11,12,2023-03-23,2023-06-28,Canada,45,Male,Tablet,Premium,"16,5","1,25","20,62",38781291
12,13,2021-11-30,2023-06-27,United Kingdom,48,Female,Laptop,Standard,"15,08","0,69","10,41",67736802
13,14,2022-01-08,2023-06-26,Australia,27,Male,Smartphone,Basic,"8,03","1,44","11,56",26439111
14,15,2023-09-05,2023-06-28,Germany,38,Female,Smart TV,Standard,"14,28","0,74","10,57",83294633
15,16,2022-07-04,2023-06-27,France,36,Male,Tablet,Premium,"19,77","0,73","14,43",64756584
16,17,2022-01-24,2023-06-25,Brazil,30,Female,Laptop,Basic,"4,9","2,53","12,4",216422446
17,18,2021-10-18,2023-06-24,Mexico,43,Male,Smartphone,Standard,"10,86","10,04","109,03",128455567
18,19,2023-02-15,2023-06-23,Spain,32,Female,Smart TV,Premium,"19,77","0,62","12,26",47519628
